Contract Address,Classification,Detailed Classification,Upgradeability (PROXiFYT),Upgradeability (USC HUNT)
0x8e46456bdc6d55e37b231e4c84aefb12fad12239,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x5c545ca7f9d34857664fdce6adc22edcf1d5061f,Unknown,Failed to decompile bytecode,n,y
0xf644f1341eb9bfa37003b2be2db39e2386b66053,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xa97c0e80d7ba1ce6400e0e416ee4027303f72713,Not a proxy,No delegatecall found,n,y
0xd819E948b14cA6AAD2b7Ffd333cCDf732b129EeD,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x0475675085484498c003fc02fd58bb34a8397484,Not a proxy,No delegatecall found,n,y
0x800b8b05a9fb13deba0550114bc65f8deeae1203,Not a proxy,No delegatecall found,n,y
0x663e0657202588c0eabd8bd6da67d87d52d3e851,Forward proxy,No assignments to local4 outside the fallback function,n,y
0x4febc44f05f6ce0dae0ba90c0c700ed18178063b,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x395cb0c7bf2808a11200a9018c98b2839f45c6f9,Not a proxy,No delegatecall found,n,y
0xc743a0673a8308193a8795fef030dd540be18f69,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x81af92af5ac442a0cb1927bab7cf0a880b9d34db,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x4eb82f80858e6974307458b057b875bf3f23c4a0,Not a proxy,No delegatecall found,n,y
0x245afd5a6cf525345698ee1428c6f5b9e7f684f4,Not a proxy,No delegatecall found,n,y
0xdbd5f71C4d48dcA17FAACD88C8664dD0fdE3f0a4,Not a proxy,No delegatecall found,n,y
0x66386885C7fb8B81126c58C3F5Ea533fC472139e,Not a proxy,No delegatecall found,n,y
0x50456eb644207302e054093d8fb9c4193755e6be,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x5eD3C9089Ed0355bc77CF439Dc2eD28c4054C8c4,Not a proxy,No delegatecall found,n,y
0x48420fad7cc1b517e3b49126edc9988df6e0e778,Forward proxy,No assignments to masterCopy outside the fallback function,n,y
0x6A911d2aaABe631f8d7DaA82AFbFe38633cb0DAB,Not a proxy,No delegatecall found,n,y
0x944d99389857f3469857374dd658c93bdff31571,Forward proxy,No assignments to local4 outside the fallback function,n,y
0x63C50a1Fe505e9DC77BC6A75e6643099A0816f67,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x9c5408DE2da2cF50cFc87e994D70f3Dc17C0ffee,Forward proxy,No assignments to local8 outside the fallback function,n,y
0x902b4b1882621e02893a1330aa42221939b27447,Not a proxy,No delegatecall found,n,y
0x4b671119abc735dd475b30065ad508076f9a78ba,Not a proxy,No delegatecall found,n,y
0x682664463c7e9b9182f9b6a8172f374785825c12,Forward proxy,No assignments to var_1 outside the fallback function,n,y
0x0e41afb50ef97aa02598ebdce4f884c47a22954e,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x559b1137d4d3ae6c3b0e657ec065b5db1b6051a3,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xed24bd79a3f2ba4325e9c553164e299c65e272fc,Unknown,Failed to decompile bytecode,n,y
0xf363c6de4a27c202fd8e3216351c242fb4a39d8c,Not a proxy,No delegatecall found,n,y
0xd116e81265F4aa1Db8e4851fEEF7061AFD9f9e3A,Not a proxy,No delegatecall found,n,y
0x8584af1b39ef8c3f747da4ae67ffffcd18e82fcc,Forward proxy,No assignments to local12 outside the fallback function,n,y
0xf613f773f09eff9b6c5d82a0660176786025aa4c,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x89b748bcddb34e9aa90e743b24eff7c9c1240dd6,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xf83a1748422811b18db69533b0485c9c744b765e,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xe47ffbddb8114f0d169cd46b973674f67fbaaf05,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x829ce855af88e3f6c6306de25c04fbc01394f680,Not a proxy,No delegatecall found,n,y
0x275d5d1a8f887b63e7c6f6a5ca5f0b0af4826a62,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x07cc353876ae94a361bbefbfde6a6ae4821a8cd3,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x4ea313337eda2b7ae8d86709a7046512dfc4d186,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x555ddd7c3999010cff0ae3671d31cb376fa638f0,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x79d59505Fb63556e0c06035dE9AD1B18491d37C7,Not a proxy,No delegatecall found,n,y
0x33c9a1239f29fa9d82d8beddf0f421fad6295d5c,Forward proxy,No assignments to local4 outside the fallback function,n,y
0xaE8dC65a012970345ECb5FF05479B2f3014d2090,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xc1ec30dfd855c287084bf6e14ae2fdd0246baf0d,Not a proxy,No delegatecall found,n,y
0x86e117bcd5deb54b79476f24cb474ba5cfd7559c,Forward proxy,No assignments to local4 outside the fallback function,n,y
0x7afb8ba591f0e22486e2e040ee213aeb86413820,Not a proxy,No delegatecall found,n,y
0x8bbe886294ac356c4ded8fc3e6acdd6683ac26b6,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x5be38552d1714c4defe94edb66df208083a601b4,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x5352c7d32c79435bdfc0c58523353957466552ad,Not a proxy,No delegatecall found,n,y
0xd98e59c710eaf3608f4dd073c2e843826f0d7e12,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x3410349f1e02e3beab54b1513fc2c9d2bab6d7ac,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x6253b6161ca14b4cc1e47e1d7ee949b248bcd1e9,Not a proxy,No delegatecall found,n,y
0x090ece252cec5998db765073d07fac77b8e60cb2,Not a proxy,No delegatecall found,n,y
0x27ee601bf94969f112487FF13acb6856Ec86C8A2,Not a proxy,No delegatecall found,n,y
0x7d0398d7d7432c47dffc942cd097b9ea3d88c385,Not a proxy,No delegatecall found,n,y
0x23870fdf149068c0b11704ebc586cfc15b1524a1,Forward proxy,No assignments to local4 outside the fallback function,n,y
0x5cd06410e6e9469520cfde70e1b7f5aa1bc46eb7,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x60ece4a5be3fd7594e9f24c2948cce5ce3c6dde7,Not a proxy,No delegatecall found,n,y
0x1337DEF1670C54B2a70E590B5654c2B7cE1141a2,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x926e0e6baae4edf77b85bd6035098c75d2ba2899,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x5811e3ce346638eaf61414c91cde7b403c3c4eb5,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x91df0ffc1b95113ba1f41ca0669fccaec0f55876,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xed045abcd09fa8223d06bca4b0ad562a1c467f10,Not a proxy,No delegatecall found,n,y
0x7a70b72db9c59f30c780c4746ce2a0562502ec2b,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xd85ac522a67666bdc625d91051bd7aa6a1d91ebe,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xFBacBc64E684c0C5Bf572Fc6d42458c3E3fd1d1D,Not a proxy,No delegatecall found,n,y
0x017788dded30fdd859d295b90d4e41a19393f423,Not a proxy,No delegatecall found,n,y
0x951c853c2b0a2a79785742550e6bef1c5e545d87,Not a proxy,No delegatecall found,n,y
0x620264b99d786821faf9a3c38072fcdec88e568f,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x84D95558623144604D4ab1a568Ed286B2aA8292F,Not a proxy,No delegatecall found,n,y
0x6d9cc14a1d36e6ff13fc6efa9e9326fcd12e7903,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x6511D8686EB43Eac9D4852458435c1beC4D67bc6,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x1E883b70089381Cf1DB87E88c45d5A92ee149e7C,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x1E883b70089381Cf1DB87E88c45d5A92ee149e7C,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xaba8421dee292cee1e17cd5504f460ac438cc860,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x6c8a3a2cc9b9831d550433626b262fb9365b5f63,Not a proxy,No delegatecall found,n,y
0x627af3b7bb61cb5e96a1f31277eb387defe737a1,Forward proxy,No assignments to var_1 outside the fallback function,n,y
0x5689c65cfe5e8bf1a5f836c956dea1b3b8be00bb,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x9C06a2e334AA11B4CC7F10b0d49A7b53A1b61eAD,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x8f64c5e21c4c5b5aedb102e7cacd07ef101bdc7d,Not a proxy,No delegatecall found,n,y
0xe470198cda121da5b6ad349d3577b166e5985917,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x33ce1d837b9d5cc24e1d06b586abd6548906e2f4,Unknown,Failed to decompile bytecode,n,y
0x14a4123da9ad21b2215dc0ab6984ec1e89842c6d,Forward proxy,No assignments to local4 outside the fallback function,n,y
0xfee82A3FD7eacdcc33cCb51ce6Cdec359d9EE392,Not a proxy,No delegatecall found,n,y
0x9a6e7ddff15bbba5e2b464677bd1dd06512e7e00,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x7696f9208f9e195ba31e6f4B2D07B6462C8C42bb,Not a proxy,No delegatecall found,n,y
0xb89FeB008D75C89fB68cFbdE1D3426D92d3AfaCE,Forward proxy,No assignments to local8 outside the fallback function,n,y
0x996652b6c5c4b1154b25515db21b7bbadd40ddfa,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x4e3e0852d664b671222384d654d789b2434a9446,Not a proxy,No delegatecall found,n,y
0x694c68c7577a9a6a8cf2f6da0066790201afc260,Not a proxy,No delegatecall found,n,y
0x9ede19ede2baf93d25fba4c8f58577e008b8f963,Not a proxy,No delegatecall found,n,y
0x13586160e4F890D0631c3C08D989f5b7AFe202b0,Not a proxy,No delegatecall found,n,y
0x047fd363e01f39b132672eaf372bc01d2c7e2dca,Not a proxy,No delegatecall found,n,y
0x6f1d0e4574eecbab34c083085c3c8856864a6c43,Not a proxy,No delegatecall found,n,y
