Contract Address,Classification,Detailed Classification,upgradeable_PROXiFY,upgradeable_SWORD
0xb7a75de2ad7f81ccda6f4f406dda7b819eb7ad33,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x083bf6ef6680cb7e9d18f0007c4dd4041d5a8f4b,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x704de5696df237c5b9ba0de9ba7e0c63da8ea0df,Upgradeable proxy,Implementation address can be modified,1,1
0x5e9188280e1e35ae8f899b09c97558d0f195cc14,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0xb575c158399227b6ef4dcfb05aa3bca30e12a7ba,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x2336817ccc263b17725d7c15d687510d1d10a1b6,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x04be54ad7d7f6bb71d9c4a6e3bd8eeb808cb6d2c,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xc17078fdd324cc473f8175dc5290fae5f2e84714,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x05946b1b80ce4de235350d8955c5c751860d5399,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xeef12f1aba15916c4a196b471bfd94d5786b0aee,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xc81ef9357985881c7413c5144f5634b6f211873b,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x94861481b36f5e19045eccad09005caa9df25593,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x0239c668f9d16ab9a01c97fbf402ca5b9e705cd3,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xc3b6a0689cb6515cc93269585f96383b27bb9bdb,Forward proxy,No assignments to local1 outside the fallback function,0,1
0xfa6680779dc9168600bcdcaff28b41c8fa568d98,Upgradeable proxy,Variable local1 assigned outside the fallback function,1,1
0xbde001c5700fd7a1c749440e11e9d10fdd3ad7cf,Forward proxy,Forward proxy with hardcoded address,0,0
0x5c933757f2079cf33a4fb1165424f8580f5d8960,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x74bf5b14760d9a2b8d03284657f2ea549ac952c7,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x88366e3bb908345cafcccaaee3f1e501373d179d,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x3fa7d6dc3836b03d8766bbf5054ac0c2acab3ae9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd17c7effa924b55951e0f6d555b3a3ea34451179,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd74bee51abbeff07a89dd90305667c1e17212afa,Forward proxy,No assignments to local1 outside the fallback function,0,1
