Contract Address,Classification,Detailed Classification,upgradeable_PROXiFY,upgradeable_SWORD
0xee6a9d6cb11a9796f767540f435f90f11a9b1414,Upgradeable proxy,Variable local1 assigned outside the fallback function,1,1
0xf9fd7a89bfb8a07a225080236e5ca570ee2a76a1,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x786018160e9224bad5a9633d5951c88ad1bec7f6,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xe7bd68547f41413a6baa7609550a7eb58c84c406,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xadbef24df642de86b95e2259f367463f6aec9047,Forward proxy,No assignments to var_1 outside the fallback function,0,1
0x5e30fc115d29504da86e48e067f0749324ad5373,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xbedf0be871514287815ecba7217380d6722ed9c6,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x93e47ec9b8cd1a669c7267e20acf1f6a9c5340ba,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x09403fd14510f8196f7879ef514827cd76960b5d,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0xd5433168ed0b1f7714819646606db509d9d8ec1f,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0xfdd54d77551c66684ce73a696ac866f2af3292fc,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xc36417063b6222c463d1b2af088e4de166bcfdcf,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x1571ed0bed4d987fe2b498ddbae7dfa19519f651,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0xc391d1b08c1403313b0c28d47202dfda015633c4,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0xd76ebe0b19b59c3c8f8bd62421e5df232e6d9f35,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x0cdb0751d289390ea3a9f17191f4b12056ffbb22,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xf188370a51e0713457c8b72c114bc522be348682,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x660a37834e39fac21055d1f0feaedbb5485ab678,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x2c56db587ad583328a3788c83bb698ecdace3760,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xbc2346c3c7f3998a12a1c8e7be44734ecc832763,Forward proxy,No assignments to var_2 outside the fallback function,0,1
0xae92978933bd440dd657523784d467ff3fc774a3,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x5a54ca44e8f5a1a695f8621f15bfa159a140bb61,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x03d560b0cdc5528f7e73f626e254bd08b1945491,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x3cfd65ead05d8cb0feebb8d7350e2e772f38d689,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x47b3dcd3007303b85ffe1604239eebe3b66fbf58,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xcd91538b91b4ba7797d39a2f66e63810b50a33d0,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x9318924cc95a8c7c63481be3b19fadeaccc3f7ca,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0xa35b88441074facfeef4cbaf51563a637b5474ee,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x7a939bb714fd2a48ebeb1e495aa9aaa74ba9fa68,Forward proxy,No assignments to local1 outside the fallback function,0,1
0x51829d3233d567a27b9a09ff7f3f7ee144d182ca,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xe539d876c77c5d87a669945382fadcbef0f295b7,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xb8bd09c8499e2d9e8890a6b4f43bd656f77b7557,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x5e5445783a2983421038225c57847fb8f768951d,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x76bc15ca184fef534292da7a6043071ce94061ff,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xce27c95e51639164d38138706483f5273db4c24e,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x6ff8a397f7a04b41c58c00ab8e70aca7cbc0adba,Upgradeable proxy,Variable local1 assigned outside the fallback function,1,1
0xb6c743deb1021a98970223f0d907462a57230a14,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xc08512927d12348f6620a698105e1baac6ecd911,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x91c353f7111be4c629b8fb4f9a5424eacba65a9f,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd37e5aba557b98c753e60023a7c18241e4d918a2,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x51c9a18c87c89a34e1f3fe020b8f406f1300e909,Upgradeable proxy,Variable getImplementation assigned outside the fallback function,1,1
0xa9cfcc5a540724f95d72df490e4f55d79bb14c78,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x18fe4b095dc23411857e174d8c561c860c6c7cd5,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0x2d3ae87688f740ba7f5fb1cce0c6b89bebaf4684,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x691ace5e56507c008d836c8c58ed93546bdc81ff,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xe6260710dade04fda4349b38ddb82ee91b997ca2,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x96345f4c2c7f5a88b377229bdea38dc1d7ccf637,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xb698938b41abe65f0bb3c4cee428b4adb2a5d5d9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd2494c2451c88d68856f3b07d4b126b3cfb49d77,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xfe584fc2b820aef5e4976beb9379ecd22aed0c6c,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x53503b14dfdb229d7837304dd5e3ba73ea5c0963,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa53bb7c21dee6e414ddbda78124e41e6ffb2f4a9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x6c2e2cec8de4a6a071065d4bd5c496636570fdc2,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xe9ddb38352b396dc89fe7d5e348e23000f389811,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa4bf30c2f474fb2ffa35dbf432142dea08d6655e,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x5da99391c569cb990838d5502de8b24c8370730e,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xde728cbf438c730d383e95bbe8b7fe8547cbbdf1,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x7da31ff219a4d6de39acf45a4eaf3956702d02c8,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x091bcae306012006e2ad11d569da162ab58ed256,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x67d8148eaaedfdacb5a2f60d26585c0d339461a5,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x42a7a78ac2077da2b9432f30333328ea68d52de8,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x0ebf28c5252124b898ecaa41a15ca40db9bf2bfc,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x8158b34ff8a36dd9e4519d62c52913c24ad5554b,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa552387bf91b460f409afe9719be626b43cf211e,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x000000885ffb27b4e2ab5284710729b96a58cac7,Forward proxy,No assignments to var_1 outside the fallback function,0,1
0x8426d0c462b1a83ef47c2ee64aea1ce03a4a70a9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x6b33f15360cedbfb8f60539ec828ef52910aca9b,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x00a21381a841523f87b7919467ee09dc3512b493,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x9ed68e380a1433ead80267c0e0dda209a695bdc4,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xde37db4269c6dfd4c81b9a11400d1bcbeec06515,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x9203dcd91fbbc9fb62d345b93c15b30141b92c3c,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x31b595e7cfdb624d10a3e7a562ed98c3567e3865,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x2b708f08432b253af53f069d40a7d7d4695da11d,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x33df027650cd2729e0b132fc0bff4788725cc0fa,Upgradeable proxy,Variable local1 assigned outside the fallback function,1,1
0xe76a87b8e4f2f462c212ed32fb00dab5cf4cc779,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x1fc31488f28ac846588ffa201cde0669168471bd,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0x9e50e47cc08535ee61ae47acfea20abb1925bd4c,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd4e4e10c7da022a66e1b4c7d73e7b1f802e74481,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa8b5b29297a681ca9e017d1efec232fc53091b15,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x3ea496977a356024be096c1068a57bd0b92c7d7c,Forward proxy,No assignments to DFImplementation outside the fallback function,0,1
0x7f6fe274e172ac7d096a7b214c78584d99ca988b,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x28f84373e4c8b5be7e9f977095926566403d7bfc,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x1caa10ef9f5b6130f0384b860936b9a33f257e18,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x493a9f40f6aa132b789743d282a4d082c5a7cd17,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xeaa941417c031a780735f438323530c642745f7f,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xf0dab909360548b398964e38a00ef4a3a9702678,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x29780c39164ebbd62e9ddde50c151810070140f2,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0x0d29ada4c818a9f089107201eacc6300e56e0d5c,Upgradeable proxy,Implementation address can be modified,1,1
0x072e99574c22da9bd5068661992cb0ad3d8a8a5f,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xe39c2aa182a0b2938af319ce850035af3b7f3c7b,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xf8a75a49f67856c8c0900a454dbb66588ced9ae7,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x30266a7899bcffad3277e45bfaec462b76cf53fe,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xe95a203b1a91a908f9b9ce46459d101078c2c3cb,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x678c86dbd6965d65bf74b73d75b615a37428a87d,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x61a24e2ca23c789a3e33f3cc9930ab199ca93892,Forward proxy,No assignments to var_2 outside the fallback function,0,1
0xb40e02f0e11081140a062f06b6692180c0199dd9,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x5e60fcca904753a31f9df7d7f6b7856b6ec27aa9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x022410c1d096d83396523ee44d2244e8c918c232,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x00fc67076077381321e04eb1c6bdd7d681fd9fd6,Forward proxy,No assignments to local1 outside the fallback function,0,1
0x496599b4de503d5c5c11882501af64d04025c6dd,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x64cf8831b7c54ec59180fae3c96c66491f01c09a,Upgradeable proxy,Variable proxyImplementation assigned outside the fallback function,1,1
0x07e47d03dafaa9020e1fec5a05c4e950d80f5e6d,Upgradeable proxy,Variable local4 assigned outside the fallback function,1,1
0x033bf3a2a301b306907eea80a79db61fcc9f6e3e,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xf4900bc1d530d52b2735aa2c7bd1e767cf096a39,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x24c562e24a4b5d905f16f2391e07213efcfd216e,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0xe5308b2518c8ff98df6204cd9f2e8725a3bcb3a2,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0x5ffcf7da7bdc49ca8a2e7a542bd59dc38228dd45,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xb8e81700fcebaff81bab32431bbd19a822156ed2,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xeedc2f5f4d1226759b1acf9efa23a99661de6663,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa7eb2bc82df18013ecc2a6c533fc29446442edee,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0xa7d2556ac0f6cdcf264ab882e5145a850e0cf7c3,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x713e11c146911b2cba7df18b89bffaa64f2c9d24,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xc138413e1bc599ed09877f4659152ce080ab9d59,Not a proxy,No delegatecall found,0,1
0x8016f490d76346ebec91707fd4fb56a7fe64f694,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x6fd49c2c3fbf84a89f5dd7b10dbab6372f496819,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd874c1219a4b1923a53baf2167d4ef9b0a086caf,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x552d1306fbac5496ef81e888c8aae2d05e2a4507,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x8569a32614c0a75927cce96904dfb3d6180dbfc1,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x163014ecfbe04d591cf0a8dd06e3e545521b88e9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x05bbed16620b352a7f889e23e3cf427d1d379ffe,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xed5f6e8cf58e1b9b71fa0b970dd8763828a9a7a6,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0x1337def1373bb63196f3d1443ce11d8d962543bb,Forward proxy,No assignments to local1 outside the fallback function,0,1
0x15bb594f72c78ae8263eca86be05dd998f944e3a,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x434d10acab789eb8690745e24e3aec8eb73520c0,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x33a61c134f9256119dfd229cbedde9204482bcbf,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0xf237b14ee18f426c53bab460f188dc7252881cc6,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x6da1c6ffe4db5f47ae3d51d3dafcef6304a87617,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x732f431f30c6c3a047eb39c251f63ac4e28c639c,Forward proxy,No assignments to var_1 outside the fallback function,0,0
0xd82308cbc710c4171f3fcc513f0670af8229f666,Forward proxy,No assignments to local1 outside the fallback function,0,1
0xca85de6e2cf963d8c163a12efe33aedfdd06f119,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x27901fa4d2bb6cfdaf92265f6a881e458a5ccb63,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd7938e5048a88f29ba88c5c4858a087c1b7ffffc,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x335e07b1465d1158b8300c675ee8903c65981266,Forward proxy,No assignments to local4 outside the fallback function,0,1
0x4215b8ba7b12a8293fe7c9cef897c5669a368ff8,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x6290e605b7a8dfa6f51860f08a8d04a257da45bd,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x6f07bf4994f882a3832f7afc3d8b059554d4dd6b,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xcd816354450015a5644857fed507afeeae7263af,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x5815d947395b2faffd92b37f799cfd0d0294c4ec,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x1c48f86ae57291f7686349f12601910bd8d470bb,Upgradeable proxy,Variable local6 assigned outside the fallback function,1,1
0xa2f0a92396cb245bad15ba77817e1620c58bf05b,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd25ba3ee5f67b6b61620406646e709720015550b,Forward proxy,No assignments to local4 outside the fallback function,0,1
0x0652db986e8b53bdecd8d4ac539d312fae71f0bb,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x4f9c3332d352f1ef22f010ba93a9653261e1634b,Upgradeable proxy,Variable getImplementation assigned outside the fallback function,1,1
0x016bf078abcacb987f0589a6d3beadd4316922b0,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x61a800e925ca54f8ca6cca7cef0156ce695671f7,Upgradeable proxy,Variable getContAdr assigned outside the fallback function,1,1
0xd73b48f9c7597ddb04f2d362caa735193a669a02,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x09e3b36dbdc641d73c38656605538c4b666db82b,Not a proxy,No delegatecall found,0,0
0xd897b5458afe7e2dc26d94ec33cf7d09a9158568,Forward proxy,No assignments to var_2 outside the fallback function,0,1
0x9dce896ddc20ba883600176678cbee2b8ba188a9,Forward proxy,No assignments to var_2 outside the fallback function,0,1
0xd6647c5ef783eacc4f02686e3dc62198394702a5,Upgradeable proxy,Implementation address can be modified,1,1
0xc011a72400e58ecd99ee497cf89e3775d4bd732f,Upgradeable proxy,Variable target assigned outside the fallback function,1,1
0x91d7b9a8d2314110d4018c88dbfdcf5e2ba4772e,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x166fa489de3123c4c1c1ee302e895b9faae44454,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xb24f03350238e8bba48e490ea846348171a20c48,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x44262a6a07256f0711f815451f2cd1a028a0a755,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x03e051b7e42480cc9d54f1cab525d2fea2cf4d83,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x9b70e6aac469c75f4044c78d416ee3bc1a92ac22,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0xfa120f80e619318d24d7d46f35c4723aa6bbe7f6,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x9afd76f23f49260185d64f711f868fbf292eb100,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xe01471a535b6c528223a9353603d44ed724b9286,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xda3a932599abf754a9045a2c0013d323f1e1038a,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa88955f63078e77c25da61e1912aabe4ae966def,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x20ef0c900f8e7ec3a1a89a761f0670ae9e3dd709,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x09d87f728f3ddf437dc25d253055abd63c9736ee,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x3d3a4d4d14a37598aa12ca09d1354d4ca805c09a,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x942b215097dfcdb2a7498040f72cabd7d05cf7c9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd00c339caab08f19fe8e2eb19c2754b124512829,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xe969bd6c4a9708f7536f47a2a73bb84ab3eff6fd,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x1fad8a0adba888081feefff9ffe72fedf93148e8,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xe22e63605806006ca5dfeca846eb041d70f1d852,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xb240f74cc18d1710c24f09c3eca5c8a3e10fcbf1,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x7aab296abbe476c198d30ea80afaaa3d403d1e8b,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x65dee2c31efb13485cf38e02ed2f126eb2c75d6f,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x759b313c066d22a3549d710d29cbee88506fc772,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x759c0d0ce4191db16ef5bce6ed0a05de9e99a9f5,Upgradeable proxy,Variable local1 assigned outside the fallback function,1,1
0xa05678f2dec6cef01e7d99e6d2e4d02ecad98985,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x0b033c120d711d9e95392cb4be5cf0586ee4360a,Forward proxy,Forward proxy with hardcoded address,0,0
0x98945bc69a554f8b129b09ac8afdc2cc2431c48e,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd93dddc1396b32d4f9ebf9170d23ad6983b6e15a,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x8bddde581d619a4e8aaa59d49f0d682070b708eb,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x4f23ca1cc6253dc1ba69a07a892d68f3b777c407,Upgradeable proxy,Variable local1 assigned outside the fallback function,1,1
0x7bdd938cd24272e96ec39cea4a98492706519da1,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x67ecfedac405879541e86d427aa419ae5e0967a5,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x1aadc00011939499a4d263d657dd74b0e1176cf9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x45a9e027ddd8486fad6fca647bb132ad03303ec2,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0x12e54c7408ac4d8885070ed7b379fe615e71c2d1,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa207d69ea6fb967e54baa8639c408c31767ba62d,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xba64cdf65aea36ff4a58dcf288f1a62923555795,Upgradeable proxy,Variable local1 assigned outside the fallback function,1,1
0xf153f765fbb6156a320295a32253467886625e3e,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x2e2364966267b5d7d2ce6cd9a9b5bd19d9c7c6a9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xc68b5eb9e035b2b84568a4c6201e3b200c0236ba,Not a proxy,No delegatecall found,0,1
0x6dc804739d31169eb682d0572e500b559890081d,Forward proxy,No assignments to local1 outside the fallback function,0,1
0x769cd7ddf3abbda9adb040b05941ba38286d2ef8,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xc86d5cf39bc6d0eb3a8efabe408268c8af2ebf2f,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0xb7e66b77a2b1fade0825a80f7d389bb3686b9f0f,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd976d3b4f4e22a238c1a736b6612d22f17b6f64c,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0xffd79c36aa52d4846f9f35dab4399f6b2ca896d3,Upgradeable proxy,Implementation address can be modified,1,1
0x750fa12ae51d1515c893c1aaabe2c135937a2c8b,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x089a502032166e07ae83eb434c16790ca2fa4661,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x4591890225394bf66044347653e112621af7ddeb,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x243f207f9358cf67243ade4a8ff3c5235aa7b8f6,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xb677bca369f2523f62862f88d83471d892dd55b9,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0xbbb655723d64d59e75292f3e3eaa90e1873d36f2,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x9f923653a19537b5a1b003854a1920fe67a8ffeb,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xc37a0d81d9610514db1047de52e9a9093530d2e4,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x01c5def3532a1ec0271c67f8c0d10f0404402dc8,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa0b2a98d0b769886ec06562ee9bb3572fa4f3aab,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x8be154815499e9c32e3f18c98786467ca3325280,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xf86048dff23cf130107dfb4e6386f574231a5c65,Not a proxy,No delegatecall found,0,1
0x0a792c74258f4b95ba55542f8f2560d5f167783a,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x901037e4e90d380c99dac5c792bb9320a65a2345,Forward proxy,No assignments to var_2 outside the fallback function,0,1
0x1fe049b07cbe55b0667dbfa463967905840d7fc9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x3f658cb30be184683841cac892ea2382eafdb7b3,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xc056471f31a8f67b5488028b779e0ae546eb78a7,Forward proxy,No assignments to local1 outside the fallback function,0,0
0x6db6d540f5614e6bab7475af3f430f46a0b083e2,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x254891fc1d9545c5fd664b60702899e5e4008481,Forward proxy,No assignments to local1 outside the fallback function,0,1
0x1669803cfb4f5f97b5acae3c12bb0fb4b65c0f2e,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xb1b3d4fad41f5169c195ebd3cf75109624c4546b,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x295b4222d6062f84e2c10f78c0d7e98461fe8e0a,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa6b5040174a8d56d12c34a487d7cc23ca4bbe932,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x8a1eb05fe9bd3483a965c414d05dae670aa7037d,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xea618e938e69d206801782d09c60aa3580694ef8,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x05392d7b8cd4aad3a35ccb21648154e54f29f9db,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x69c1a617950381fcfb8687b5822edc82dc9dd172,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x84748a79ff860b401568a873e08f13906c746d7a,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0x98fb7c76b612e5d76ad7c22a5dd025b85de5a225,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd8309ed5d14aba0afb8405b5e57eb6f9cde16147,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x9aa2f0b49c2799bd8f8ceeea71d5840f224df970,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x0c63cae5fcc2ca3dde60a35e50362220651ebec8,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xb10f9bb26eabb1f64e45eb0e0910f29efd32834c,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x63d630b6d89c21e171e86c51c7243284510dbd79,Not a proxy,No delegatecall found,0,1
0x3f9560721d4a613d3a0f528fe871f0537a8e990c,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
