Contract Address,Classification,Detailed Classification,Upgradeability (PROXiFY),Upgradeability (USC HUNT)
0x0BABA1Ad5bE3a5C0a66E7ac838a129Bf948f1eA4,Upgradeable proxy,Variable local1 assigned outside the fallback function,y,y
0x0BABA1Ad5bE3a5C0a66E7ac838a129Bf948f1eA4,Upgradeable proxy,Variable local1 assigned outside the fallback function,y,y
0x34d50B679Bb74a3d4D27A82594e527Aea78ec548,Not a proxy,No delegatecall found,n,y
0x2404987433ff32e32c5b0f8fb77a74a5bca44acb,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0xd43d38254e22487744bce554baca9aa35dfeb9cc,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xe595d67181d701a5356e010d9a58eb9a341f1dbd,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xa2f987a546d4cd1c607ee8141276876c26b72bdf,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x88ee07602398b40b6c6522b1edad1cab1b8374f9,Upgradeable proxy,Variable getImplementation assigned outside the fallback function,y,y
0xBe9c5DA3624A098c05Df874b6b7e357859341294,Not a proxy,No delegatecall found,n,y
0x12e57f85b847bade37f37cde3442f00dc33b9982,Forward proxy,No assignments to local2 outside the fallback function,n,y
0x0000071e9eB1199a1cEA199363e88B6f34399933,Forward proxy,No assignments to var_1 outside the fallback function,n,n
0xd44fd0423e2b9b261dc81c959afe1e67cadde510,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x085D9b18BE81f2b0C35086972Caa46177205f54D,Not a proxy,No delegatecall found,n,y
0x8B9720B7017f90032500452Ea4d1709A7a3e740C,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x5b56d9679532024513E938feba7851d1b3F6070E,Upgradeable proxy,Variable proxyImplementation assigned outside the fallback function,y,y
0xeA2977e88938561Dc633C560d0A170C91D90dA95,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0xfb918ca8543aefcb1754a656d3985b4fc4036860,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x1e6b51191FC6582F1b44a794022fc8352414A22F,Not a proxy,No delegatecall found,n,y
0xB032012073765A74f8F8Fe2e6685Ad70253058Fa,Not a proxy,No delegatecall found,n,y
0x46262af08d6b795efb08b4a6e486208f889e0c60,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x0000000000085d4780B73119b644AE5ecd22b376,Forward proxy,No assignments to local4 outside the fallback function,n,y
0x79da9ce7e3af83f5302dc89c39387089dee75e4f,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x4936790a58f5ae1c06210cba4eb1024fd7d535ac,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xf4146a176b09c664978e03d28d07db4431525dad,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x692f4fc86cbac6d6b9cca4039405317445a4f98c,Upgradeable proxy,Variable delegateImplementation assigned outside the fallback function,y,y
0xcF6E61fE1cB37e83cB590eAeE57D660089748077,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x2033e559cddff6dd36ec204e3014faa75a01052e,Forward proxy,No assignments to var_1 outside the fallback function,n,n
0x3c4754b350f31e30d1f035564c0b6ef46aa925b5,Not a proxy,No delegatecall found,n,y
0x0660BF15A89d8e90Cba1B3f0ccF493C415B1369D,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0x567C268a3aF060088e53F6487872eB7D31DffA4f,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0x4ea2684b087e0b8cb0bfa5d4792b266b17b43f9c,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xdbda6fa60c48a7da8e0c7ae25a20fd089c0f6a1f,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xa17b54c69983093ff3d6574a569af1b68f297cc8,Forward proxy,No assignments to var_1 outside the fallback function,n,n
0x53aa48b2ac0071a6ce61ddb3ba4e41d395b2db51,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x4b1844168ab674c97474c6ef4ae47cad7b1c481d,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x7Da4E597d5E0Fc8a527A12E95878E8641f4901f2,Upgradeable proxy,Implementation Address can be modified,y,y
0x7Da4E597d5E0Fc8a527A12E95878E8641f4901f2,Upgradeable proxy,Implementation Address can be modified,y,y
0xf8b94cd86fd64bd28b7b4988b718052ded52a849,Not a proxy,No delegatecall found,n,y
0x4e27A3E21E747cF875ad5829b6D9cB7700B8b5f0,Not a proxy,No delegatecall found,n,y
0x30a62b07169E19BB24da82B777d7bAF64C95Bc81,Not a proxy,No delegatecall found,n,y
0xc013a3b36B5655a00dCbee15EE9a6d59802fb7C3,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x37cc99aabb9f6e1b2a37d95cec66b34133e558a3,Forward proxy,No assignments to var_1 outside the fallback function,n,n
0x4d77686eC56B2704707306BAD1078297BBf6fbc8,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x1be98680ff697390cbc4cdc414a1be8add733bf7,Not a proxy,No delegatecall found,n,n
0x33a0525410f4532221df6201ca8b013217c9232d,Forward proxy,No assignments to local18 outside the fallback function,n,y
0x57090d9d1650b91976d1d3f9c2bceb411b64e360,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xec88ba505bc341cd590dced6001c29f3b267970a,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xD092F354F7170984d406c15e091f56853d0e29Bf,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x6432A6f1808B6b793aa3CC5eb5De5549FC5Dc54C,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x1c63d19a2d626e91dc67d93037e5716182bed6cd,Forward proxy,No assignments to local4 outside the fallback function,n,y
0xcf9e5b210ce84ad5060841fabcecb5fccc7ee55e,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0xD82D18087F5b110d01D2Fb0ED30836A7503Eec16,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x0aacfbec6a24756c20d41914f2caba817c0d8521,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x27dcc3a6db94eca8850b133fb04ed56477f2e900,Not a proxy,No delegatecall found,n,n
0xb7e495092749de8d30ca30b91e437e15e399ef69,Not a proxy,No delegatecall found,n,n
0x375ad9a4415d2ec6467000836e3086f53159f2cc,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x086A04e8562948345d75135523627264084b3EC4,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xfcbb61bcd4909bf4af708f15aaaa905e0978cafc,Upgradeable proxy,Variable local6 assigned outside the fallback function,y,y
0x37e9971F30c1354F3391c415DBD642E2b27C7c6F,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xc7ed274d6e2a158cdbe8da8141000affa11d33e5,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0x035cccb015a826b754529b4d04587182b8210344,Not a proxy,No delegatecall found,n,n
0x8db1d28ee0d822367af8d220c0dc7cb6fe9dc442,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0x7b7f44c3cd0fb15863a6f968e16aa4a91acb79c9,Not a proxy,No delegatecall found,n,n
0xbbbbbb512661e9a574a8a3e8c12afaf647e98809,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x217375af2de10c73f94408c3258a956df106ba98,Upgradeable proxy,Variable local2 assigned outside the fallback function,y,y
0x036cF3821eA246E935feEF1c29ED8DdFFaC1dBB0,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0xf5652c49150560d1e60385aef4ff3380fdfb25c8,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x4D3CF9f182d56ED3DE0Bf4144bC4A301C54de48f,Not a proxy,No delegatecall found,n,y
0x4D3CF9f182d56ED3DE0Bf4144bC4A301C54de48f,Not a proxy,No delegatecall found,n,y
0xbf95d4957d481473e39c70d3bc08896740e3ca96,Not a proxy,No delegatecall found,n,y
0xef854fb73815517b06acbb2889a97aedae6bdc72,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0x216b4b4ba9f3e719726886d34a177484278bfcae,Not a proxy,No delegatecall found,n,y
0x0a24864596C54D79C825e64b281645249C14590C,Not a proxy,No delegatecall found,n,y
0x7e17c0247dfece6fa0f36396df4b46680c175156,Not a proxy,No delegatecall found,n,y
0xaaf401585b72c678afc09036510d3ef759bdaf7e,Forward proxy,No assignments to var_1 outside the fallback function,n,n
0x15e90976b01cbc38e203cf9f367fba6f3462b5ff,Not a proxy,No delegatecall found,n,n
0xD8Ee69652E4e4838f2531732a46d1f7F584F0b7f,Upgradeable proxy,Variable local2 assigned outside the fallback function,y,n
0xE373290c4724AD49A8119eA959dCd9f434B245b1,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x4f6103bad230295bacf30f914fda7d4273b7f585,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0x9c459eeb3FA179a40329b81C1635525e9A0Ef094,Upgradeable proxy,Implementation Address can be modified,y,y
0xC6ECa979b0d17C348055733bb84E94f5C655CD52,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x6325d247696d39ee59ffd931a87e022a68bbbe4f,Upgradeable proxy,Variable local1 assigned outside the fallback function,y,y
0xe62e470c8fba49aea4e87779d536c5923d01bb95,Not a proxy,No delegatecall found,n,n
0xcd55262c3ea354a58661597f71037d5fa26b72bd,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xf00d4B19458C594d4Ea9D0B9861EDfD2c444fA9A,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0x0966a53f2533EaF01D0bB2fa0E2274f3002287F1,Upgradeable proxy,Variable proxyImplementation assigned outside the fallback function,y,y
0x73FddFb941c11d16C827169Bb94aCC227841C396,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0x19bc15849b392519a9a9131df32c00cc3497892d,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x426903241ada3a0092c3493a0c795f2ec830d622,Not a proxy,No delegatecall found,n,y
0x25cf9d73b711bff4d3445a0f7f2e63ade5133e67,Not a proxy,No delegatecall found,n,y
0x17b09b22823f00bb9b8ee2d4632e332cadc29458,Upgradeable proxy,Variable local3 assigned outside the fallback function,y,y
0x84d573e351ec508834bbf361c63142c33f655677,Not a proxy,No delegatecall found,n,y
0x7f3edcdd180dbe4819bd98fee8929b5cedb3adeb,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xbd668ec47e10d3bf23b1d68139e545162a0dfcfa,Upgradeable proxy,Variable getContAdr assigned outside the fallback function,y,y
0x7aab4ee6f6012b64e68eb732572bac1a6940ad95,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x33fF117B155dC6cfa4168bab4Ab492487ac767BD,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0xc2e9678A71e50E5AEd036e00e9c5caeb1aC5987D,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xbe729d06dd2d7b2e953b40e234c62bd5f0204a12,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x3e460895ddeea50dd67f098f1bceffb03f36a04c,Upgradeable proxy,Variable wanFarmImplementation assigned outside the fallback function,y,y
0x661449dee9e8c576a458ef6eef549ff8af6f2731,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x71535ad4c7c5925382cdeadc806371cc89a5085d,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x5dce29e92b1b939f8e8c60dcf15bde82a85be4a9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xA4D15507112c0DB37E1320Bf3Fff8891DFd1D2Ed,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0x141a01b4ec8e9424dec5b866c0f580d552007ac5,Not a proxy,No delegatecall found,n,n
0x5e9EA1989853b38DD8C55962146167B3C1e17dFD,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x3e803eEA623eE4793f0f49790A813811da5249f4,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0x1C0b9C1995ea61f8FB505E4D94aa32b0c024899e,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x2a3bff78b79a009976eea096a51a948a3dc00e34,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xd5B9e02fbc12Fe0C5F67205545deeCE6eE3D0352,Not a proxy,No delegatecall found,n,y
0xf1494ae4f883b23053266dfd145b76a3ba1abd40,Not a proxy,No delegatecall found,n,n
0x7963aa3202d186e0da113423da0fccf879b69cb2,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x71DD9CD476c73F7C94a82E3F00a8eD29268602e1,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0xb9fb8a22908c570c09a4dbf5f89b87f9d91fbf4a,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x3620a54ec63b98fb709f91c1f89f77842049afc3,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x7301CFA0e1756B71869E93d4e4Dca5c7d0eb0AA6,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x67905d283b5214fe49319a5c305e67c7d9e86d36,Not a proxy,No delegatecall found,n,y
0x612e8126b11f7d2596be800278ecf2515c85aa5b,Forward proxy,No assignments to logic outside the fallback function,n,n
0x95a28a02ffb969e48b78554777f223445661fb9f,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x719d8b63601bbd50cb0394f39c1079641e61b7d1,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x1643E812aE58766192Cf7D2Cf9567dF2C37e9B7F,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x1b71b5820c871ffc6733bb7859866df05827dc94,Not a proxy,No delegatecall found,n,y
0xF955C57f9EA9Dc8781965FEaE0b6A2acE2BAD6f3,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0xB95423e3ca13ce5336Cb177B06cD4f647D2aAd57,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0xe438c0fffba2a81094b6623e5191866d32814c22,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0xedf06b25e92f645e1bee98ffc72781f11ed523f8,Not a proxy,No delegatecall found,n,y
0xc14ff64fac7464501d37cb0a55beb11adef3943a,Upgradeable proxy,Implementation Address can be modified,y,y
0x8547bf4d1d6043209b0eea09ba2f50df003b1ccb,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x6F8266ed462Bf7d8C226566275467A2A49B40471,Forward proxy,No assignments to local11 outside the fallback function,n,y
0x6F8266ed462Bf7d8C226566275467A2A49B40471,Forward proxy,No assignments to local11 outside the fallback function,n,y
0x21683397aa53aaf7baca416c27f2c1e0e84bb493,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x72bea880b07b3c814c1753a1d1c3bdefe23af3dd,Not a proxy,No delegatecall found,n,y
0x681bbd0f8fe641441a6f4fb57a8785036b833b6d,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x57ff2cbf0d1dfd79b497795b2edd3b56f1a30397,Not a proxy,No delegatecall found,n,y
